imo,ship_name,mmsi,call_sign,consumption_value_1,consumption_speed_1,consumption_value_2,consumption_speed_2
9560766,KALAMOS,636021297,5LDG5,65,12,NA,NA
9182899,SUBSEA VIKING,259578000,LJJL3,11,12,21.3,14
9468970,ATALANDI,229876000,9HA5621,69,14.3,NA,NA
9423035,NORDIA,305684000,V2HY4,110,23.25,NA,NA
9624201,IMABARI IMABARI (804),NA,NA,28.5,13.8,NA,NA
9139804,AMIL 2,NA,NA,15,13.1,NA,NA
9337327,JAZZ,352003751,3E5852,31,14.9,NA,NA
9723514,KSL STOCKHOLM,477006100,VROG3,52,14,NA,NA
8515037,YAO FU,NA,3EYV4,17,13.5,NA,NA
9944637,STENA PROVIDENT,210325000,5BWP5,29,14,NA,NA
9125229,PRINCE FAROUK,667001699,9LU2502,23,14,NA,NA
8670681,ZHONG XING DA 89,414151000,BLFE,21.27,13.1,NA,NA
9143104,REN JIAN 6,413695770,BPNU9,44,20,NA,NA
7926007,EFDIM HOPE,NA,SZSM,18,13,NA,NA
9112260,CREED,NA,T8A2593,202,25.6,NA,NA
9123477,ALPHA STAR,525016267,YD4866,3.5,10,NA,NA
9903255,EVER CERTAIN,636021136,5LCM3,42.7,19.5,NA,NA
9636400,SUNFLOWER,NA,NA,28,14,NA,NA
9614804,JIANG QUAN 6,413328790,BBLP,23.5,13,NA,NA
9173185,RIX AMETHYST,209114000,5BQN4,4.9,9.2,NA,NA
9835513,ZHONG HUI 76,NA,NA,20,13,NA,NA
9703100,HL SAMCHEONPO,374923000,3ESF4,49,15,NA,NA
9866677,IKAN BELIAK,563250700,9VAT6,26.8,13,NA,NA
9223722,CRYSTAL,268254201,T7BZ6,36,14.5,NA,NA
8509375,MSC DENISSE,NA,3FUI9,44,18,NA,NA
9598165,CRINIS,255915781,CQ2239,23,14,NA,NA
9239927,DAFFODIL,403127000,HZKQ,32,12,50,15.2
9495727,ANEMOS,241096000,SVBG3,33,14,NA,NA
6926309,MENCAST 99,NA,NA,6,11,NA,NA
9404649,MSC DANIT,357051000,3FZU8,262.2,24.1,NA,NA
8218976,PLOVER,273389450,UCTM,12,12,NA,NA
9331921,CHRISTINAB,538005899,V7HZ3,30,14,NA,NA
9893046,PACIFIC DIAMOND,538009199,V7A4441,41.7,14.5,NA,NA
9102332,JAHAN SISTERS,405000097,S2AW,27,13,NA,NA
9321536,ELLY MAERSK,220499000,OXHY2,152.6,17,331,24
9621156,SHANDONG HENG CHANG,477219100,VRMQ8,52,14,NA,NA
9641156,WECAN,441442000,D7XP,27,17.5,31,18.6
9299367,BASTOS I,352001666,3E2691,33,14.2,NA,NA
9623441,JINHAI J0110,NA,NA,39,14,NA,NA
9765952,HUANG HAI TUO 01,413338910,BOXR9,20,13.6,NA,NA
9683984,LARGO ENERGY,538005270,V7CJ5,24.3,15,NA,NA
9616046,BALSA 89,356963000,3EWN6,12,12,NA,NA
9494747,NAVI LYRA,636024277,5LRV3,24,14,NA,NA
9469649,GOUVERNEUR,636014628,A8VM4,52,14,NA,NA
9752694,ASIA LIBERTY,563080900,9V5665,16,12,NA,NA
8104280,SHOREHAM,NA,E5U2382,28,14,NA,NA
9445617,FORTUNE GENESIS,538011386,V7A7050,30.5,13.5,33,14
9400394,TG CRAB,636024043,5LQR9,29,14.7,NA,NA
9707558,MV A70,NA,5ONV2,18,12,NA,NA
9847877,CAPTAIN JOHN P.,209859000,5BKT5,24,13,NA,NA
9320245,GERD MAERSK,220415000,OYGM2,243.62,24,NA,NA
9435753,HEERENGRACHT,244014000,PBQV,24,14,NA,NA
9056088,SINAH,NA,NA,87,21,NA,NA
8312148,GEM,NA,NA,33,13.5,NA,NA
9796573,MEGA BENEFIT,371523000,3FKS2,29,14,NA,NA
9493846,SHI DAI 21,413984000,BPJM,47,14.5,NA,NA
9254551,NADHIF,525120002,YBPX2,33,14.5,NA,NA
9802334,BELLA ANN,636019966,D5XA3,35.5,14,NA,NA
8316211,BASHUNDHARA-1,NA,S2DQ,25,13,NA,NA
8214061,FRIENDLY ZHEJIANG,NA,HPNT,38,13.5,NA,NA
9675705,MARINA L,636016827,D5HZ6,23,14,NA,NA
8028723,AMIRA LAYAN,NA,T2FY4,27,13.5,30,14
9836763,TSUNEISHI CEBU (SC348),NA,NA,29,14.5,NA,NA
9112313,SNOWDON,NA,ZCBV6,61,14,NA,NA
9279537,CHENNAI VALARCHI,419001879,VUAD,33,14,NA,NA
9113678,ZIM ATLANTIC,NA,A8OY8,83,21.7,NA,NA
9294941,GOLDEN MARINE,351949000,HOEI,30,14,NA,NA
9706073,HAFNIA PETREL,564863000,9V2925,18,12.5,34.6,15.2
9565950,DIMITRIS P,636015302,A8ZU5,70,15.7,NA,NA
8026177,PIONEER SKY,NA,HOOD,45,13.5,NA,NA
9236975,SREDINA,357263000,HPOW,27,14.5,NA,NA
9802542,YUE YOU 908,477237600,VRRW4,13,12.5,NA,NA
9885221,NING HUA 431,413319110,BOWK9,12.8,13,NA,NA
9734159,CAPE QUEST,249377000,9HA6240,46.5,19,NA,NA
9877614,SOLAR SHARNA,538008703,V7A2146,17.78,14.8,NA,NA
9288758,YONGAN OCEAN,373336000,3EWR6,36,14.6,NA,NA
8407515,OCEAN ARMONIA,NA,NA,24,13.5,NA,NA
9799159,NEW HONOR,477237400,VRSH7,79.8,16,NA,NA
9204702,TRACER,NA,NA,16,11,26,15
9814131,ENEOS EARTH,374542000,3EWC9,78,15.5,NA,NA
9044085,SEARICH,NA,3FZO3,8,12.4,NA,NA
9146728,GOLDEN TRUST,NA,VRMQ2,60,14.5,NA,NA
9144689,A2B SPIRIT,244150813,PCBE,17.5,15.5,NA,NA
8218847,SULTAN,NA,NA,9,10,NA,NA
9808704,EAGLE ASIA 11,563047100,9V2407,12.8,13,NA,NA
9418303,COSCO WUYISHAN,477387500,VRHL9,22,13.7,NA,NA
9083196,GENRIKH GASANOV,273151300,UEUK,8.8,10,NA,NA
9880233,AM JYOTI,538008995,V7A174,26.9,13.7,NA,NA
9269271,GASCHEM SHINANO,255805835,CQUJ,19,15.5,NA,NA
9987457,AMALTHEA,563226900,9V8539,9.6,10,NA,NA
9627643,RUI NING 10,414076000,BFAI6,32.5,14,NA,NA
1082823,CIPTA JAYA HARAPAN 8,525701738,YDPW3,3.6,7,NA,NA
8400531,PROSPERITY,NA,3ESL4,20.5,13.5,NA,NA
9228021,LIAO FAN,372468000,3FRT4,27.7,13,28.5,14
9477804,MARATHOPOLIS,229557000,9HA3404,97,21.7,NA,NA
9843405,KASTOR,636019440,D5UN6,29,13.7,NA,NA
9421506,PMS 3308,622121526,6AFR,25,12,NA,NA
9720110,EISA PETRO-UM E1-006,NA,NA,40,14.5,NA,NA
9430052,TRANSIT SHAMORA,273612530,UBWX9,24,17,NA,NA
9603178,JM SALAM,533060400,9MSL6,18,12.5,NA,NA
9380740,CAP THEODORA,240840000,SVAM5,34,12.2,60,15
9595371,BELLA JUDI,376429000,J8B6352,24.5,14,NA,NA
9616436,BACH DANG BV-12,NA,NA,23,13.5,NA,NA
9725184,ADNOC 225,470390000,A6E2648,9,10,NA,NA
9235385,JANINA,304373000,V2BV4,24,17,NA,NA
8803886,LONG YUAN,NA,3EZT8,26,12.5,NA,NA
9660621,MOLYVOS LUCK,538009090,V7A4303,32.4,14,NA,NA
9729283,HAFNIA TORRES,566598000,9V3283,30,14.5,NA,NA
9276779,TAN BINH 246,351040000,3FCQ7,17,12,23,14
9359002,GERNER MAERSK,477891200,VRVO3,206.02,24,NA,NA
9450296,MSC PRECISION V,255806233,CQAO7,124.9,22.5,133,24
9406465,LONDON COURAGE,538002924,V7MY7,62,14,NA,NA
8221777,STAR ALABAMA,NA,LAVU4,27,14,NA,NA
9782948,AFRICAN BARI BIRD,311001246,C6GH3,30,14.5,NA,NA
9838008,ESTEEM ASTRO,355837000,3FRL6,52,13,78,15.5
9277383,TINA,244198000,PBKA,36.5,18.5,NA,NA
8313685,HAWK ARROW,NA,C6KB5,24,13,NA,NA
9691412,JIN CHAO,477856500,VRUZ3,24.9,14.4,NA,NA
9758650,GUANG HENG HAI,477010200,VRQQ9,52.8,14.8,NA,NA
9739276,CHEM SOL,636022067,5LHA6,28,14.5,NA,NA
8112536,PRIME QUEEN,657101600,5NWX3,9,10.5,12,11
9423970,GEORGINA HOPE,477726800,VRGK2,52,14,NA,NA
9965461,PAVO BREEZE,352002520,3E3884,24,13.5,NA,NA
9743057,HARVEY BLUE-SEA,338798000,WHBA,17.3,8,NA,NA
9546124,NIKITIS,538003242,V7PJ6,34,14,NA,NA
9462706,YM UBIQUITY,416467000,BLHM,250,25.6,NA,NA
9767546,LEFKADA,636092730,D5LV9,17.5,12.5,24,14
9346768,POMPANO,636022205,5LHR2,56,14,NA,NA
9283186,MAERSK MONTE LINZOR,563051200,9V9767,163,23.3,NA,NA
9385881,VERTOM MERIDIAAN,246180000,PCBO,10.5,12.3,12,14
9665308,RAINA,563413000,9V2214,33,14,NA,NA
9412957,HTK LOTUS,574002760,3WSY9,23,14,NA,NA
9531624,ANTELOPE,657245200,5OXH,6,10,NA,NA
9373230,THOMAS B,760004070,OA2115,21,14,NA,NA
8922254,TRIO CAN BERAT,341739001,V4DR6,4.6,10,NA,NA
9727534,HAFNIA AMMOLITE,563186300,9V8430,30,14.5,NA,NA
9832705,FEDERAL IBUKI,352327000,H9RX,25.7,13.4,30,14.5
9274525,SIMOON,352002251,3E2237,60,15,NA,NA
9312200,ENDURANCE,244357000,PBKO,33,18,NA,NA
9646132,BRINGER,219016663,OZIY2,6.72,25,NA,NA
9314894,INDRAS,352004945,3E7163,34,14.5,NA,NA
9440538,KRITI JOURNEY,538005006,V7AI9,51,15,NA,NA
9944833,JIANGSU NEWYANGZI (   ),NA,NA,150.7,22,NA,NA
9687942,LARGO EVOLUTION,538005271,V7CJ6,24.3,15,NA,NA
8907577,BR GLORY,341902000,V4AB5,19.5,14,NA,NA
9297890,SEACROSS,309401000,C6UY2,65,15.5,NA,NA
9445291,OCEAN CHINA,477899700,VRIB6,78,15,NA,NA
9585390,SUBSEA 204,NA,NA,10,12,NA,NA
1090337,XIN QING HAI,412033000,BPZV4,49,17,NA,NA
9726607,HAFNIA HENRIETTE,249345000,9HA4204,28,14.5,NA,NA
9451214,MELIGUNIS M,247387600,IBSV,15.5,12,NA,NA
8119209,SPSL TYPHOON SERVICES,NA,NA,10,12.5,NA,NA
9451719,NEPTUNE PHOS,241909000,SVDW7,48,19.6,NA,NA
9754991,NEW LONDON EAGLE,538007824,V7EX2,30,14,NA,NA
9395379,PACIFIC 01,352003611,3E5240,44,13,NA,NA
8313386,ERK,NA,3FMG3,19,13,NA,NA
9496692,GANGES STAR,248374000,9HA2339,17.6,13.4,NA,NA
9008598,STAR LEGEND,311085000,C6FR6,16,16,NA,NA
9465980,TORM ALMENA,219415000,OZGQ2,34.5,14,NA,NA
9791743,ZHEJIANG OUHUA 763,NA,NA,42.8,18.3,NA,NA
9422392,ZARUMA,351206000,3FDY8,51,15.4,NA,NA
9391969,MAY,538008539,V7A2485,35,14,NA,NA
8021804,LIAN FU STAR,NA,3EXE7,32,13,NA,NA
9627007,JIANGSU HANTONG (HT57-076),NA,NA,34,14,NA,NA
9559949,HARVEY PIONEER,367446970,WKIR,9.6,10,NA,NA
9355422,ANDROMEDA J,209850000,5BKR3,34,17.5,NA,NA
9337652,DELPHINUS C,636018222,D5OS3,198,25,NA,NA
9722443,INDIGO LAKE,477948600,VROY7,19.5,13.5,NA,NA
9529633,RIN YO,373392000,3FAB2,43,14.3,NA,NA
9485045,OCEAN DESTINY,636017981,D5NQ6,30,14,NA,NA
9422445,SIRIUS,314988000,8P2496,67,15.7,NA,NA
9225201,HE FAN,352986195,3E3937,34,14,NA,NA
9935117,WAN HAI A05,563201600,9V7400,117.8,22,NA,NA
8704183,ROCA,NA,A8PA5,89,21,NA,NA
9715529,SK PARAMOUNT,533132921,9M3209,6,8,NA,NA
9303077,AMAN SUKSES,525109019,YDMM3,30,14,NA,NA
9767596,ZHONG SHANG 2,413703450,BOEU5,14.5,10,NA,NA
9195195,RADIANCE OF THE SEAS,311319000,C6SE7,285,24,NA,NA
9188776,DAWN MANSAROVAR,419000905,AWGZ,32,15,NA,NA
9374399,ANDES IV,735057664,HC4727,5,10,NA,NA
9282352,CHEN YANG 9,413291150,NA,6,8,19,13
9287900,MSC MARIA CLARA,636020899,5LBG6,89,20,164.5,24.3
9416991,NYK RUMINA,563758000,9V7645,198,25,NA,NA
9793466,PAPANDAYAN,525108008,YCOY2,17,13.5,NA,NA
9666429,AFRICAN HHB,636015891,D5DI8,16.6,14,NA,NA
9126833,KINGWAY NO. 2,NA,3E3502,6.5,12,6.7,12.5
9827255,VICTORIA HIGHWAY,374069000,3FZQ2,45.4,20,NA,NA
9224697,JIU JI 3,414355000,BTJB3,33,14,NA,NA
9374521,STOLT PONDO,319091700,ZGFL9,29,14.7,NA,NA
9250579,SSI PRIDE,374763000,3EFO3,28,14,NA,NA
9436446,NORDIC LIGHT,538003862,V7TQ7,49.5,13,NA,NA
9228124,ZHONG MAO,352004218,3E7710,27,14,NA,NA
9663817,FUAT BEY,538009101,V7A4315,27.2,14,NA,NA
9312341,AMALIYA,248153000,9HA2210,22,14,NA,NA
9947627,ORION HUGO,NA,NA,77.1,19.5,NA,NA
9461843,TORM GLORIA,563221700,9V9634,55,15,NA,NA
9196864,MSC MICHIGAN VII,636021994,5LGR5,230,26.4,NA,NA
9104483,HAWK,NA,P3JN9,29,14,NA,NA
9842190,AKADEMIK GUBKIN,273616040,UBZX4,29,14,NA,NA
9527324,STX JINHAE (1403),NA,NA,33,15.1,NA,NA
9748409,CS JENNA,538007269,V7EC2,22.6,14,NA,NA
9688362,STI BATTERY,538005425,V7DR9,24.3,15,NA,NA
9412141,GANNET,NA,5OFM,5.8,10,NA,NA
9328948,STAR RENEE,538002636,V7KK7,30,13,35.5,14
9183491,OCMIS RISE,511100987,T8A4210,16,16,NA,NA
9819870,LITA,311000686,C6DI7,51,12.5,75,15
9331153,DELVINA,NA,NA,48,14.6,NA,NA
9418547,CINDY BROWN TIDE,368080000,KCBE,16,11,21,12
9105023,CONAKRY PEARL,309497000,C6NR5,45,14.2,NA,NA
9238686,LILA HAREN,636022977,5LLI3,47,19,52,20
9935600,SEA SAPPHIRE,241785000,SVDO5,43.2,14.5,NA,NA
9074767,XIANG HE,NA,TRA075,30,14,NA,NA
9678513,MUTAWA 103,470516000,A6E2656,16,11,NA,NA
9239903,MSC PAMIRA III,636021246,5LCZ6,87,22.1,NA,NA
9189964,DB SUNRISE,441867000,D7LS,8.5,13,NA,NA
9224491,GREEN,NA,D6A2762,180,25.9,NA,NA
9652492,ECO WILDFIRE,636021058,5LCA8,25,13.8,NA,NA
9101778,PENHA,477356000,VRUV6,10.44,45,NA,NA
9672894,EXECUTIVE TIDE,533130222,9WNG6,16,10,NA,NA
9604249,BAO XING LING,414774000,BRJL,31,14,NA,NA
8319392,APRIL 9,620999017,D6A3023,22,13,NA,NA
9337913,XIN OU ZHOU,413159000,BPKB,248,24.5,NA,NA
9708772,PYXIS LAMDA,249852000,9HA4399,18,12.5,34.6,15.2
9464558,HANNAH,636016692,D5AK9,23,14,NA,NA
9579119,PACIFIC HORNBILL,416006812,BQ3084,10,10,30.5,15.6
9802138,AKAGISAN,636019442,D5UN8,70,14.5,NA,NA
9616113,VALENTINA,636021975,5LGP4,23.9,13.5,25,13.8
9952103,FOREVER CONVIVIALITY,563191900,9V8390,22.8,14,NA,NA
8720216,SHAMAN,355427000,3FZS3,4.5,10,NA,NA
9116955,KARADENIZ POWERSHIP EROL BEY,NA,D5LN3,50.5,15.2,NA,NA
8110100,BRAVERY,NA,3EDX3,25,12,NA,NA
9045560,ANGEL,NA,D6IC4,52,14.5,NA,NA
9218296,HENG XING DA,414397000,BTJF4,32,14,NA,NA
9617959,HAFNIA LIBRA,219484000,OUYK2,34.5,14,NA,NA
9933860,ZHONG GU TAI YUAN,414906000,BPKY6,45,15,NA,NA
1038389,JAINGSU HAITONG JSHT298,NA,NA,20.47,13.4,NA,NA
9620322,ZHE NENG 7,414498000,BOOD2,30.5,12.5,36,14.5
9651395,RAWABI 4,NA,NA,6,8,19,13
9696266,HAI YANG SHI YOU 301,413481620,BSVX,28.25,14,43.7,16.5
9485552,DE NUO,413337880,BOXQ4,10.8,10,NA,NA
9659000,SHINCHI MARU,431892000,7KNR,45,14.3,NA,NA
9883376,GLORIA CONFIDENCE,636019560,D5VB4,29.5,13.8,NA,NA
9267211,FORTUNE SUN,538004103,V7VE7,33,14,NA,NA
9623685,TEXAS,229132000,9HA3095,65,14,NA,NA
9686326,SEAFIGHTER,256028000,9HA3791,52,14,NA,NA
8715962,TITO NERI OTTAVO,NA,IXVW,6.5,14,NA,NA
9256872,XIN JI XING,414576000,BOUW5,34,14,NA,NA
9329966,NORMAND TURQUESA,710002990,PPTZ,15.3,10,19.8,12
9626883,XIAMEN (XSI483D),NA,NA,39,14,NA,NA
9601182,WU XING 6,413271420,BDPI,34,14,NA,NA
9583782,BRAVE TERN,229044000,9HA3020,50,10,NA,NA
9962433,WOODSIDE BARRUMBARA,NA,NA,102,19.5,NA,NA
9776860,AN JI 24,414331000,BQTD,20,16,NA,NA
9788447,HIGH EXPLORER,253000005,LXAA7,20.47,13,NA,NA
9756391,TURK YILDIZI-3,271044252,TCA3662,5,11,NA,NA
1107829,J. BARREIRO,NA,NA,2.72,10,NA,NA
9444728,SANTA ISABEL,219077000,OXWU2,165,22,NA,NA
9267974,GAS LISBON,636024136,5LRE3,17.7,14.5,NA,NA
9174218,GEMA,NA,NA,93,15.3,NA,NA
9570670,BBC LIVORNO,305775000,V2QJ2,12.5,10,NA,NA
9193680,MSC TIA II,NA,5LLN7,70,20.5,NA,NA
7374620,JIN NING,355268000,H8VN,32,12.5,NA,NA
8908715,CAROL,NA,V4VU2,37,17.5,NA,NA
9590981,LMZ BIANCA,210528000,5BJN4,39,14,NA,NA
9549023,PERSISTENCE LAB,369347000,WDH3222,8.5,9,17,12
9587843,VALDERICE,247429100,IBHH,29,14.5,NA,NA
9713416,AQUAPROSPER,636016791,D5HU9,30,14.5,NA,NA
8307038,STEEL ANNA,NA,A8AS8,26,14,NA,NA
9122203,ISTI,NA,T2TF4,109,21.5,NA,NA
8807337,SERVAL,667001801,9LU2604,5.6,12.5,NA,NA
9478860,SUPRA SOVEREIGN,636023990,5LQK7,30,14,NA,NA
9001813,HAV SNAPPER,311014800,C6XN4,5,11.5,NA,NA
9498690,PACIFIC TIANJIN,563158600,9V8011,30,17.5,NA,NA
8324103,SPARROW,NA,A8QD3,40,12,NA,NA
8806371,CRETE,NA,A8UW6,23,14,NA,NA
9460071,ISARA BHUM,563841000,9VLP4,38,18.5,NA,NA
9664782,SFL PANTHER,538005863,V7HR5,29.9,13,50,14.8
9289568,VIRGIN STAR,NA,D5SM6,186,23.5,221,25
9473511,CREST CRANE,353983000,3EPJ6,12.7,11.3,NA,NA
9239848,NORDIC POLLUX,319099500,ZGFT8,52,13,NA,NA
9336282,FU GUO,312391000,V3RJ8,24,17,NA,NA
7401928,KYRIAKOS,NA,V4CZ,28,13,NA,NA
9604598,WU XING 5,414050000,BDNB9,34,14,NA,NA
7917680,EMILY ANN,NA,NA,10,10,15,12
9421805,OLIVIER TIDE,636024172,5LRI7,13,12,16,13
9306914,VIKING AVANT,258403000,LMSZ,15,9,NA,NA
9437206,MEDKON QUO,352004882,3E7109,35,18,NA,NA
9565754,CHEMROAD HOPE,356050000,3FEK8,29,14.7,NA,NA
9737072,ANTE TOPIC,538006982,V7TR4,21,12,29.5,14
9290878,DZ WEIHAI,636020109,D5XS3,32.5,13.5,NA,NA
9625152,MANIFESTO,566692000,9V9574,59.8,16.7,NA,NA
9668257,TEMILE,657101100,5NX0,18,12,NA,NA
8418734,KANUNI,NA,E5U2811,22,13.5,NA,NA
9719886,TEXAS VOYAGER,369142000,WLIY,24.3,15,NA,NA
9854521,CL GUILIN,636018990,D5SK4,52.8,14.5,NA,NA
9320738,SAPPHIRE GAS,352005205,3E8359,48.55,16.75,NA,NA
9082362,PORT SAID,NA,ELTY2,42.6,19,NA,NA
9389710,AULAC CONIFER,574002350,3WMZ,18,13.4,NA,NA
9572666,BERGE TRIGLAV,636019093,D5SX3,52,14,59,14.9
9750282,SALISH EAGLE,316030626,CFCX,5.8,15.5,NA,NA
9589877,STANFORD GOSHAWK,377282000,J8B4476,14,12,NA,NA
9806885,YUAN GU HAI,563057400,9V5553,79.5,14.5,NA,NA
9408047,GERALDINE,525020109,PORK,16,13,NA,NA
9737577,MELDERSKIN,257359000,LAVE8,25,15,NA,NA
9128207,FUJI,NA,NA,93,22,NA,NA
9392846,GREATSHIP DHWANI,419724000,AUVS,13,12,16,13
9296377,TOKYO SPIRIT,311000453,C6CE9,52,13,NA,NA
9587312,KAPSALI,538008333,V7A2247,60,15,NA,NA
9285043,STAR KAMILA,538002227,V7HG5,35.5,14,NA,NA
9413016,BLUE SKY,636014378,A8TK7,44.6,14,NA,NA
9959072,FRANBO ACE,538010432,V7A6030,17.5,13.5,NA,NA
9182954,STAR ISTIND,257424000,LAMP5,40,14.5,NA,NA
9255074,DEMA M,636021877,5LGD2,25,14,NA,NA
9697985,LONE STAR STATE,367633000,WLSY,24.3,15,NA,NA
9943619,SITC FENGHE,477887600,VRVC8,22.6,18.2,NA,NA
9214941,HOS SAYLOR,NA,NA,15.9,12,29.7,14
9827372,SANTA ISABEL,354968000,H3ZE,55.8,14.3,NA,NA
8506907,ALI BAYRAMOV,NA,4JEP,16.8,12.5,NA,NA
9331397,AYA,249265000,9HA6201,30,13,35.5,14
9170614,GRIYA AMBON,525014056,PNFZ,19,13,NA,NA
9573763,CAPE SAKURA,432786000,7JHZ,62,14,68.6,15
8420361,AHMET ONEL,NA,H3AS,8,12,NA,NA
9158422,MASUREN,NA,9HFB5,24,12.5,29,14
9953406,ALKIVIADIS,538010223,V7A5771,26.5,14,NA,NA
9554705,AUTAI,355621000,3FRV9,19,14,NA,NA
9680085,STOLT SINCERITY,319103800,ZGEY,27,14,NA,NA
9618355,YANGTZE HARMONY,538006817,V7RP6,34,14,NA,NA
9169861,GRACE MERCHANT,355310000,H8ON,16,11,26,15
9843780,LARGO CALIFORNIA,538008142,V7A2010,24.3,15,NA,NA
9419888,ADVANTAGE SPICE,538006197,V7KZ2,39.5,12.5,NA,NA
9477543,STOLT TSUBAKI,563206900,9V8783,18,13.8,NA,NA
9436484,STAR,636020787,5LAS4,122,23.5,NA,NA
8707367,SEA PRINCE,NA,P3EW8,21,13,NA,NA
9740108,OCEAN BANQUET,477234300,VRQO2,24.9,14.4,NA,NA
9511052,GENIUS SW,352163000,HO2810,29,14.5,NA,NA
9288057,SUOMIGRACHT,246100000,PHBT,42,19.1,NA,NA
9767572,AFRICAN LEOPARD,374880000,3FQB4,30,14.5,NA,NA
8119247,LONDON SERVICE,NA,5NMK5,10,12.5,NA,NA
8913679,KALAMATA,NA,SXXH,93,22,NA,NA
9306809,CC INNOVATOR,538011300,V7A6927,35.5,14.5,NA,NA
9781968,RED SAKURA,636022134,5LHI4,31.5,14.5,NA,NA
9290842,ETERNAL STARS,636018658,D5QT5,37.5,13.2,39.5,13.5
9748021,CORONA UTILITY,431287000,7JWB,39.75,13.75,44.4,14.7
9639892,BAIE COMEAU,316023808,CFN6357,28.5,13.8,NA,NA
9913690,PAC CHRISTINA,477798500,VRUA6,29.5,13.8,NA,NA
9287986,HONG LONG ZHI XING,414369000,BROC,25.5,12.5,NA,NA
9732565,FRONT FLORES,538010889,V7A6281,45,13,NA,NA
9165695,DON,268230500,T7QS,21,13.5,NA,NA
9775086,SHUN TONG,563072700,9V5547,29,13.7,NA,NA
1095909,MAZAGON 21001,NA,NA,5.7,10,7.7,11
9097288,PORT EADS,367317530,WDD9878,6.3,8,9.9,12
9262962,MERATUS AMURANG,525125031,YDMA2,30,15,NA,NA
9883364,OCEAN AMBITION,636019659,D5VN5,29.5,13.8,NA,NA
7814462,WAWEL,311852000,C6TY9,62.4,18.5,NA,NA
7391422,OCEAN ADVENTURER,255806402,CQEJ7,12.5,11.5,18.28,17.2
9953389,KOO'S 103,538060023,V7A5001,12,13.5,NA,NA
9354533,CAPITAINE TASMAN,563060800,9V5992,54,19.6,NA,NA
9408695,TASSOS,636022764,5LKI6,39.5,12.5,NA,NA
9677337,TAN ZHOU LUN,414178000,BPTB,34,14,NA,NA
9644897,STAR APOLLO,341647001,V4AD6,10.8,10,17.1,13
9424780,SKANDI NEXUS,316179000,VODM,34,15,NA,NA
9627069,CAPE KASOS,210911000,5BQS3,38.2,14.8,NA,NA
9369992,JIN AN,477723400,VRUF8,31.3,13.5,NA,NA
9515503,PERDANA HORIZON,533180055,9WNF2,24,10,NA,NA
9566344,HUA YUN,416449000,BHFB,28,14,NA,NA
9794850,ADVANTAGE PORTO CERVO,538010650,V7A7199,49,15.8,NA,NA
9162368,SHRAVAN,NA,V4AK5,60.5,21,NA,NA
8120040,POINT SERVICE,NA,NA,10,9.5,15,12
9075321,PUTERI KIRANA,525007363,YBAD2,26.5,13.5,NA,NA
9160334,VECHTBORG,244615184,PCZF,12.5,12,NA,NA
7627273,CARGO ENDURANCE,NA,ELTU3,29,13,NA,NA
9551753,TSUNEISHI CEBU (SC-184),NA,NA,60,14.7,49.3,13.7
9294111,AH GLOBE,352004173,3E7669,34,14,NA,NA
9727364,ATLANTIC TSUBAKI,563168500,9V8174,23,14,NA,NA
9721413,FORMENTERA,256737000,9HA5952,17.7,14,NA,NA
9306823,KAMDHENU,538011462,V7A2997,38.5,19,NA,NA
9500273,KATERINA III,256772000,9HA4004,35,14,NA,NA
9366055,VOS INNOVATOR,235056546,MVAW6,3,10,5.5,12.9
9500699,PROPEL FORTUNE,563142300,9V7580,30,13,32.4,14
9475521,YUE DIAN 51,412565000,BPDJ5,34,14,NA,NA
9191527,FUYUAN,372685000,3EJH7,28,14,NA,NA
9636008,ANARITA,636015345,D5AB7,32,14,NA,NA
9313797,KVITSAND,257754000,LANB8,10,12,NA,NA
9652545,SANTA ADRIANA,372791000,3EWN,33,14,NA,NA
9180384,AK CARL,667002421,9LS2124,24.5,14,NA,NA
9897896,AMIS WEALTH,357910000,3EGA5,24,13.8,NA,NA
9534028,COBALT NOVA,636020370,D5YX2,64,12.5,96,15
9362815,SALAMANDER,553111983,P2V5798,14.5,12,NA,NA
9453262,XIN HAI TONG 27,538009401,V7A4688,31,13.5,34,14
8130203,ISA BELA 2,NA,YCRH,10.5,12,NA,NA
9646730,ASTURCON,538005262,V7CH7,24,14,NA,NA
9254238,EHIME,431501694,JL6674,25.1,20.2,NA,NA
9420150,K.J. GARDNER,316040483,VGCO,15,12.5,55,17.5
9674543,CMA CGM RHONE,229989000,9HA3778,190,22,NA,NA
9805764,MEGHNA ADVENTURE,405000256,S2AW8,24.8,13.5,26,14
9751303,AN DING HAI,477850300,VRQJ8,17.7,14,NA,NA
8114041,PONTICA,NA,J8B3103,27,14,NA,NA
9537381,OMEGA S,538006938,V7TB7,33,13.5,34,14
9567702,EURO,311073800,C6AA5,70,15.7,NA,NA
9759484,STARNAV CYGNUS,710025830,PPKJ,14,10,NA,NA
9397511,LYSIAS,249294000,9HOV9,33,14.5,NA,NA
9343261,THULELAND,266248000,SKEI,70,16,NA,NA
8308915,QING PING HAI,NA,3EAN8,22.5,13.25,NA,NA
8122828,NTABENI,NA,3EGR6,32,14,NA,NA
9576806,FENG HUANG FENG,414715000,BRPK,35,14,NA,NA
9433559,MARINOR,636023429,5LNR5,34,14,NA,NA
9659074,NORMAND SIRIUS,259941000,LGPJ3,13.3,10,22.8,12
7708182,TANG,NA,NA,35,15,NA,NA
